price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
8.0,80.0,5.0,5.0,0,0,0,0,Nhà mặt phố,11.0,5.0,Gia Lâm
3.65,74.0,1.0,3.0,1,1,0,0,Căn hộ chung cư,8.498443223443223,5.834717791411043,Hoàng Mai
25.9,90.0,5.0,5.0,1,1,1,1,Nhà mặt phố,12.0,5.834717791411043,Hà Đông
2.55,40.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.3,4.0,Đông Anh
7.5,35.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.5,4.0,Cầu Giấy
7.9,35.0,5.0,4.0,1,0,1,0,Nhà trong hẻm,3.5,3.6,Tây Hồ
4.2,42.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.5,3.6,Ngoại thành
16.0,105.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,5.0,4.5,Thanh Xuân
18.0,70.0,4.0,4.0,0,0,0,0,Nhà mặt phố,17.0,5.834717791411043,Hà Đông
1.6,58.0,5.0,5.0,0,0,0,0,Nhà mặt phố,9.0,5.834717791411043,Ngoại thành
3.0,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.0,Ngoại thành
1.59,130.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,8.5,Ngoại thành
5.55,54.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.834717791411043,Long Biên
9.0,42.0,6.0,10.0,1,1,1,0,Nhà mặt phố,4.0,3.5,Nam Từ Liêm
6.0,38.0,5.0,6.0,1,1,1,0,Nhà mặt phố,4.0,3.5,Nam Từ Liêm
9.0,48.0,6.0,8.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Cầu Giấy
2.0,80.0,5.0,5.0,0,0,0,0,Nhà mặt phố,6.0,5.834717791411043,Ngoại thành
3.35,65.0,1.0,2.0,1,1,1,1,Căn hộ chung cư,8.498443223443223,5.834717791411043,Bắc Từ Liêm
3.3,60.0,5.0,5.0,0,0,0,0,Nhà mặt phố,5.0,5.834717791411043,Ngoại thành
4.75,51.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,4.1,Gia Lâm
16.0,75.0,7.0,18.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Cầu Giấy
8.8,45.0,6.0,10.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Đống Đa
38.9,80.0,6.0,4.0,1,1,1,1,Nhà mặt phố,10.0,5.0,Đống Đa
14.0,50.0,5.0,4.0,1,1,1,1,Nhà mặt phố,6.0,4.0,Hà Đông
24.0,96.0,5.0,4.0,0,0,0,0,Nhà mặt phố,10.0,5.834717791411043,Thanh Xuân
88.0,151.0,5.0,6.0,1,1,1,1,Nhà mặt phố,30.0,5.834717791411043,Cầu Giấy
