price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
16.6,94.0,5.0,6.0,1,1,1,1,Nhà trong hẻm,4.0,5.834717791411043,Thanh Xuân
7.5,32.0,4.0,3.0,1,1,1,1,Nhà trong hẻm,10.0,4.0,Bắc Từ Liêm
35.0,84.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.834717791411043,Cầu Giấy
28.0,120.0,5.0,5.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Hai Bà Trưng
5.9,35.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.834717791411043,Nam Từ Liêm
29.5,130.0,1.0,2.0,1,1,0,0,Nhà trong hẻm,8.0,8.0,Cầu Giấy
5.5,33.0,5.0,6.0,1,1,1,0,Nhà trong hẻm,2.0,3.6,Hoàng Mai
5.68,33.0,3.0,3.0,1,1,1,0,Nhà trong hẻm,2.0,3.6,Đống Đa
3.5,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.5,4.2,Đông Anh
9.0,52.0,1.0,5.0,0,0,0,0,Nhà mặt phố,4.0,4.0,Tây Hồ
8.5,58.0,8.0,13.0,0,0,0,0,Nhà mặt phố,8.498443223443223,5.834717791411043,Đống Đa
6.8,56.0,3.0,3.0,0,0,0,1,Nhà mặt phố,8.0,4.5,Long Biên
27.9,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,30.0,5.0,Đống Đa
10.0,63.0,3.0,3.0,1,1,1,1,Nhà trong hẻm,10.0,4.0,Long Biên
6.8,30.0,5.0,3.0,0,1,1,0,Nhà trong hẻm,3.0,3.4,Hoàng Mai
7.6,32.0,5.0,3.0,0,0,0,0,Nhà mặt phố,3.0,4.0,Cầu Giấy
49.5,270.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,12.0,Tây Hồ
17.0,50.0,3.0,2.0,0,0,0,0,Nhà trong hẻm,8.0,4.5,Cầu Giấy
6.5,34.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,0.0,0.0,Hà Đông
92.0,200.0,3.0,4.0,0,0,0,0,Nhà mặt phố,40.0,8.0,Ba Đình
6.68,36.0,5.0,3.0,1,1,1,1,Nhà trong hẻm,4.0,0.0,Cầu Giấy
9.8,55.0,4.0,4.0,1,1,1,0,Nhà trong hẻm,3.0,4.3,Hai Bà Trưng
8.4,37.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,5.834717791411043,Cầu Giấy
3.65,50.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,5.834717791411043,Gia Lâm
11.5,35.0,5.0,5.0,0,0,0,0,Nhà mặt phố,20.0,5.834717791411043,Long Biên
19.6,46.0,7.0,4.0,1,1,1,1,Nhà trong hẻm,7.0,4.2,Đống Đa
16.5,35.0,1.0,2.0,0,0,0,0,Nhà mặt phố,15.0,4.5,Hai Bà Trưng
34.5,200.0,1.0,1.0,1,1,1,1,Nhà mặt phố,25.0,10.0,Nam Từ Liêm
5.0,30.0,6.0,4.0,0,0,0,1,Nhà trong hẻm,6.0,4.0,Bắc Từ Liêm
16.0,85.0,8.0,20.0,0,0,0,0,Nhà mặt phố,8.498443223443223,9.2,Đống Đa
10.35,58.0,5.0,5.0,0,0,0,0,Nhà mặt phố,2.0,4.0,Bắc Từ Liêm
6.8,40.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,5.0,4.0,Thanh Xuân
6.5,115.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,3.0,Đông Anh
27.0,70.0,7.0,4.0,1,1,1,1,Nhà mặt phố,15.0,5.834717791411043,Long Biên
38.8,185.0,5.0,4.0,0,0,0,0,Nhà mặt phố,15.0,10.5,Ngoại thành
7.5,34.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,0.0,0.0,Hà Đông
21.0,75.0,4.0,4.0,1,1,1,1,Nhà mặt phố,20.0,4.0,Hai Bà Trưng
7.5,48.0,4.0,4.0,1,1,1,0,Nhà mặt phố,4.0,6.0,Long Biên
18.9,40.0,4.0,4.0,1,1,1,1,Nhà mặt phố,10.0,4.0,Cầu Giấy
7.5,44.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,3.0,5.834717791411043,Bắc Từ Liêm
6.0,33.0,5.0,4.0,0,0,0,0,Nhà trong hẻm,6.0,5.834717791411043,Tây Hồ
6.2,97.0,9.0,3.0,1,1,1,1,Căn hộ chung cư,8.498443223443223,5.834717791411043,Long Biên
19.9,83.0,5.0,4.0,1,1,1,1,Nhà mặt phố,12.0,5.0,Hà Đông
12.0,54.0,6.0,10.0,1,1,1,1,Nhà trong hẻm,4.0,4.5,Nam Từ Liêm
16.0,60.0,5.0,11.0,0,0,0,0,Nhà trong hẻm,3.0,6.5,Hai Bà Trưng
50.0,150.0,1.0,2.0,1,1,1,1,Nhà mặt phố,8.0,5.0,Cầu Giấy
9.5,73.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.0,Long Biên
47.0,100.0,9.0,6.0,0,0,0,0,Nhà mặt phố,15.0,5.834717791411043,Thanh Xuân
9.68,55.0,6.0,11.0,0,0,1,0,Nhà mặt phố,3.0,6.0,Nam Từ Liêm
12.5,45.0,5.0,4.0,0,0,0,1,Nhà trong hẻm,3.0,5.834717791411043,Hoàng Mai
20.0,90.0,7.0,2.0,1,1,1,1,Nhà trong hẻm,5.0,5.834717791411043,Hai Bà Trưng
44.5,210.0,3.0,4.0,1,1,1,1,Nhà mặt phố,40.0,13.5,Cầu Giấy
35.0,240.0,5.0,5.0,0,0,0,0,Nhà mặt phố,13.0,12.0,Long Biên
59.5,200.0,4.0,5.0,1,1,1,1,Nhà mặt phố,60.0,11.0,Hà Đông
5.65,40.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,3.85,Hà Đông
96.0,265.0,6.0,7.0,1,1,1,1,Nhà mặt phố,17.0,15.0,Nam Từ Liêm
12.8,68.0,1.0,5.0,0,0,0,0,Nhà mặt phố,6.0,5.834717791411043,Long Biên
5.7,102.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,5.0,Đông Anh
42.5,218.0,4.0,8.0,0,0,0,0,Nhà mặt phố,20.0,15.0,Nam Từ Liêm
7.5,32.0,6.0,3.0,1,1,1,1,Nhà mặt phố,3.0,4.0,Bắc Từ Liêm
16.2,50.0,7.0,4.0,1,1,1,1,Nhà mặt phố,40.0,4.0,Long Biên
8.2,66.0,5.0,5.0,0,0,0,0,Nhà mặt phố,4.0,5.834717791411043,Long Biên
15.0,83.0,7.0,12.0,1,1,1,1,Nhà mặt phố,3.0,4.0,Hoàng Mai
14.5,83.0,3.0,4.0,0,0,0,0,Nhà mặt phố,6.0,6.0,Tây Hồ
4.35,51.0,5.0,5.0,0,0,0,0,Nhà mặt phố,3.0,5.5,Đông Anh
19.0,76.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,10.0,5.0,Cầu Giấy
