price,area,floor_number,bedroom_number,is_dinning_room,is_kitchen,is_terrace,is_car_pack,type,street_in_front_of_house,width,district
5.0,40.0,4.0,3.0,1,1,1,0,Nhà trong hẻm,2.0,4.2,Hoàn Kiếm
18.0,45.0,7.0,4.0,0,0,0,0,Nhà mặt phố,12.0,5.180580675868634,Hà Đông
25.0,60.0,7.0,4.0,0,0,0,0,Nhà trong hẻm,7.0,5.180580675868634,Đống Đa
28.0,150.0,1.0,1.0,0,0,0,0,Nhà mặt phố,7.0,5.180580675868634,Cầu Giấy
10.5,80.0,5.0,10.0,1,0,1,1,Nhà trong hẻm,2.5,7.0,Đống Đa
14.5,45.0,5.0,6.0,0,0,0,0,Nhà trong hẻm,5.0,4.5,Cầu Giấy
17.8,50.0,7.0,5.0,1,1,1,1,Nhà mặt phố,10.0,5.180580675868634,Hà Đông
5.6,32.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,2.5,3.2,Hai Bà Trưng
24.7,65.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,5.0,5.5,Cầu Giấy
13.6,50.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,6.0,4.2,Cầu Giấy
10.6,50.0,4.0,4.0,0,0,0,0,Nhà trong hẻm,2.5,5.180580675868634,Hoàng Mai
12.8,42.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,4.0,Tây Hồ
8.8,45.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,3.0,4.0,Cầu Giấy
7.4,42.0,5.0,5.0,1,1,1,1,Nhà trong hẻm,3.0,4.0,Cầu Giấy
4.05,85.0,6.0,6.0,0,0,0,1,Nhà mặt phố,15.0,6.0,Nam Từ Liêm
3.5,150.0,5.0,4.0,0,0,0,0,Nhà mặt phố,7.0,5.180580675868634,Ngoại thành
10.7,42.0,5.0,5.0,0,0,0,0,Nhà trong hẻm,3.5,5.180580675868634,Cầu Giấy
2.75,15.0,4.0,3.0,0,0,0,0,Nhà trong hẻm,3.0,3.0,Hai Bà Trưng
12.5,50.0,4.0,4.0,0,0,0,1,Nhà mặt phố,3.5,5.180580675868634,Đống Đa
2.9,54.0,1.0,2.0,1,1,0,0,Căn hộ chung cư,6.154516539440205,5.180580675868634,Hoàng Mai
15.9,40.0,5.0,4.0,1,1,1,1,Nhà trong hẻm,7.0,5.0,Ba Đình
20.9,60.0,6.0,6.0,1,1,1,1,Nhà trong hẻm,5.0,3.5,Cầu Giấy
5.75,39.0,4.0,5.0,0,0,0,0,Nhà trong hẻm,3.0,4.0,Hà Đông
15.5,50.0,4.0,4.0,1,1,1,1,Nhà trong hẻm,8.0,10.0,Cầu Giấy
23.5,75.0,7.0,10.0,1,1,1,1,Nhà trong hẻm,3.0,4.7,Tây Hồ
16.0,110.0,2.0,2.0,1,1,1,0,Nhà trong hẻm,2.5,3.5,Tây Hồ
6.35,35.0,4.0,3.0,0,0,0,0,Nhà mặt phố,9.0,5.180580675868634,Hà Đông
8.0,80.0,5.0,4.0,0,0,0,0,Nhà mặt phố,11.0,5.0,Gia Lâm
3.65,74.0,1.0,3.0,1,1,0,0,Căn hộ chung cư,6.154516539440205,5.180580675868634,Hoàng Mai
25.9,90.0,5.0,5.0,1,1,1,1,Nhà mặt phố,12.0,5.180580675868634,Hà Đông
2.55,40.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.3,4.0,Đông Anh
7.5,35.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.5,4.0,Cầu Giấy
7.9,35.0,5.0,4.0,1,0,1,0,Nhà trong hẻm,3.5,3.6,Tây Hồ
4.2,42.0,5.0,4.0,0,0,0,0,Nhà mặt phố,2.5,3.6,Ngoại thành
16.0,105.0,2.0,2.0,0,0,0,0,Nhà trong hẻm,5.0,4.5,Thanh Xuân
18.0,70.0,4.0,4.0,0,0,0,0,Nhà mặt phố,17.0,5.180580675868634,Hà Đông
1.6,58.0,5.0,4.0,0,0,0,0,Nhà mặt phố,9.0,5.180580675868634,Ngoại thành
3.0,66.0,5.0,4.0,0,0,0,0,Nhà mặt phố,4.0,5.0,Ngoại thành
1.59,130.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.0,8.5,Ngoại thành
5.55,54.0,5.0,3.0,1,1,1,0,Nhà trong hẻm,3.0,5.180580675868634,Long Biên
9.0,42.0,6.0,10.0,1,1,1,0,Nhà mặt phố,4.0,3.5,Nam Từ Liêm
6.0,38.0,5.0,6.0,1,1,1,0,Nhà mặt phố,4.0,3.5,Nam Từ Liêm
9.0,48.0,6.0,8.0,1,1,1,0,Nhà mặt phố,3.0,4.0,Cầu Giấy
2.0,80.0,5.0,4.0,0,0,0,0,Nhà mặt phố,6.0,5.180580675868634,Ngoại thành
3.35,65.0,1.0,2.0,1,1,1,1,Căn hộ chung cư,6.154516539440205,5.180580675868634,Bắc Từ Liêm
3.3,60.0,5.0,4.0,0,0,0,0,Nhà mặt phố,5.0,5.180580675868634,Ngoại thành
4.75,51.0,5.0,4.0,0,0,0,0,Nhà mặt phố,3.0,4.1,Gia Lâm
8.8,45.0,6.0,10.0,0,0,0,0,Nhà trong hẻm,3.0,5.180580675868634,Đống Đa
38.9,80.0,6.0,4.0,1,1,1,1,Nhà mặt phố,10.0,5.0,Đống Đa
14.0,50.0,5.0,4.0,1,1,1,1,Nhà mặt phố,6.0,4.0,Hà Đông
